monthly_fee,usage_hours,support_requests,account_age_months,failed_payments,region,device_type,payment_method,autopay_enabled,churn
9.99,27.92,1,14,1,america,desktop,card,1,1
19.99,21.48,2,1,0,america,mobile,card,1,0
19.99,17.08,0,23,1,europe,mobile,card,0,0
9.99,18.43,0,19,0,asia,desktop,card,0,0
9.99,26.90,1,11,0,europe,mobile,card,0,0
29.99,10.85,2,8,0,europe,desktop,card,1,0
29.99,34.26,0,1,0,america,desktop,card,1,0
29.99,40.22,1,1,0,europe,mobile,paypal,0,1
19.99,20.27,2,11,1,america,mobile,card,0,0
9.99,20.72,0,14,0,america,mobile,card,1,0
29.99,39.53,0,24,0,america,mobile,card,0,1
49.99,20.44,1,9,0,africa,desktop,card,1,0
19.99,29.72,2,1,0,asia,mobile,card,1,0
29.99,20.49,1,9,0,america,desktop,crypto,1,0
49.99,25.68,0,1,0,africa,tablet,paypal,0,0
49.99,34.48,0,3,0,europe,mobile,card,1,0
19.99,35.67,1,14,0,europe,mobile,card,1,0
19.99,16.55,0,6,0,asia,mobile,card,0,0
49.99,4.18,1,1,0,europe,mobile,card,0,1
19.99,14.65,0,15,1,america,mobile,paypal,0,1
9.99,42.41,0,14,0,asia,mobile,card,1,0
49.99,18.33,2,3,0,africa,tablet,card,0,1
29.99,20.70,1,11,0,europe,mobile,card,0,0
9.99,23.96,0,16,1,america,mobile,card,0,0
9.99,12.37,0,3,0,africa,mobile,paypal,1,0
29.99,0.00,1,13,0,america,mobile,card,1,0
19.99,38.84,0,17,0,europe,desktop,paypal,0,0
9.99,13.72,0,15,0,america,mobile,paypal,0,0
29.99,7.42,0,15,1,europe,mobile,paypal,0,1
49.99,21.44,0,9,0,africa,mobile,card,0,0
9.99,38.45,1,20,0,america,mobile,card,1,0
9.99,25.53,0,12,0,america,desktop,card,0,0
19.99,38.03,0,18,0,europe,desktop,card,0,0
19.99,18.15,2,24,1,america,mobile,paypal,1,0
19.99,22.49,2,6,0,europe,desktop,card,1,0
29.99,24.59,0,16,0,africa,mobile,card,1,0
29.99,0.00,2,24,1,europe,mobile,card,1,0
19.99,17.50,1,8,0,europe,desktop,paypal,1,0
49.99,12.88,2,7,0,america,mobile,paypal,1,0
49.99,19.73,0,10,1,asia,desktop,card,1,0
49.99,26.88,0,10,0,europe,desktop,card,1,0
19.99,16.67,0,12,0,europe,mobile,paypal,1,0
19.99,18.06,0,8,0,america,desktop,paypal,0,0
19.99,31.30,3,9,0,europe,desktop,card,0,0
29.99,40.04,0,2,0,asia,desktop,card,0,0
49.99,4.12,1,15,0,america,mobile,card,1,0
19.99,18.81,1,7,0,europe,desktop,paypal,1,0
49.99,14.12,1,1,1,asia,desktop,paypal,0,1
9.99,27.88,0,1,1,america,mobile,paypal,0,0
49.99,22.04,2,19,0,america,mobile,card,1,0
9.99,31.16,0,10,0,asia,desktop,card,1,0
49.99,12.14,2,2,1,america,mobile,card,1,0
29.99,20.61,1,14,0,europe,mobile,paypal,0,0
49.99,13.75,0,14,1,america,mobile,card,0,1
19.99,24.67,0,18,0,america,tablet,card,0,1
19.99,33.80,2,18,0,europe,tablet,paypal,1,0
29.99,33.11,1,20,0,asia,mobile,card,0,0
19.99,5.05,1,18,0,america,mobile,card,1,0
29.99,16.71,1,17,0,asia,desktop,card,0,0
49.99,23.75,0,15,1,europe,desktop,paypal,1,1
19.99,33.70,1,1,0,america,desktop,card,0,1
19.99,13.84,1,8,0,asia,mobile,crypto,1,0
49.99,19.00,1,15,0,europe,mobile,paypal,1,0
49.99,17.79,2,12,0,africa,desktop,card,1,0
19.99,15.88,3,1,0,europe,desktop,card,0,0
49.99,10.95,1,17,0,america,mobile,card,1,0
9.99,30.57,2,15,0,europe,mobile,card,1,0
49.99,9.70,1,27,0,europe,desktop,card,0,0
19.99,14.47,0,17,0,asia,mobile,card,0,0
9.99,21.82,2,9,0,america,tablet,paypal,0,0
19.99,8.82,1,1,0,america,mobile,card,1,0
29.99,9.57,1,9,1,europe,mobile,card,1,0
29.99,18.18,0,13,1,america,mobile,card,0,0
9.99,20.51,0,3,0,europe,tablet,card,0,0
49.99,14.80,1,4,0,europe,desktop,card,0,0
9.99,11.66,1,2,2,asia,mobile,crypto,0,0
49.99,31.39,1,5,0,asia,mobile,card,1,0
49.99,39.44,2,7,0,europe,mobile,card,1,0
9.99,15.15,1,16,0,america,mobile,card,0,0
19.99,14.61,1,15,1,america,mobile,card,0,0
29.99,30.90,0,14,0,europe,mobile,crypto,1,0
49.99,12.87,2,3,0,europe,mobile,card,1,0
49.99,35.91,1,7,0,europe,desktop,paypal,0,0
9.99,38.19,2,10,0,america,mobile,paypal,1,0
19.99,35.55,1,10,1,europe,mobile,card,0,0
29.99,5.39,0,2,0,america,mobile,card,1,1
9.99,15.83,1,1,0,asia,desktop,paypal,1,0
29.99,13.31,1,12,1,america,mobile,card,0,0
19.99,6.77,1,13,1,asia,desktop,paypal,1,1
19.99,41.55,2,18,0,africa,desktop,card,1,0
49.99,27.68,1,7,0,america,mobile,paypal,1,1
9.99,34.00,0,20,0,america,mobile,paypal,1,0
